Formulation name,Procedure
Diphenhydramine and Ammonium Chloride Syrup,"1. Charge one-half of item 12 in a suitable stainless steel mixing vessel, heat to 90° to 95°C, and add and mix item 11. Mix for 1 hour at 90° to 95°C. 2. Cool to room temperature. 3. In separate vessels, charge 100 mL of item 12 in each and mix items 3, 4, or 10 separately. Then mix them all together and stir well. 4. Add item 6 to step 2 and mix well. 5. In 100 mL of water dissolve item 4 and add to step 4. 6. Dissolve item 2 in 100 mL of water and add to step 5. 7. In a separate vessel charge item 5 and add and mix items 7 and 8. 8. Add step 7 into step 6 and make up volume."
Diphenhydramine Hydrochloride Liquid,"1. Charge 600 mL of item 10 in a stainless steel vessel and bring to boil, cool to 40° to 50°C. 2. Add and mix items 2 to 4 and stir to dissolve; mix for another 10 minutes. 3. In a separate vessel charge 100 mL of item 10 and add and mix item 6. 4. In a separate vessel charge 100 mL of item 10 and add and mix item 1. Add to step 1. 5. Add steps 2 and 3 to step 1 and mix well. 6. Add item 2 and mix again. 7. In a separate vessel add and mix item 7 to 9. Add to step 6 and make up volume. 8. Fill."
Electrolyte Lavage Solution,Dissolve in sufficient water to make 4 L
Erythromycin Drops,"Erythromycin ethylsuccinate (item 9) is factored in based on the potency used in the Bill of Materials. Excess of up to 5% erythromycin may be included. The weight of sugar (item 3) is adjusted to compensate for potency variation and excess of the erythromycin ethylsuccinate, to maintain the standard quantity at 1000 g. 1. Dissolve the sodium carboxymethylcellulose (item 1) and the dye (if used) in 50 mL hot purified water. Stir until the sodium carboxymethylcellulose is completely in solution. Allow to cool before using. 2. Screen the sucrose through a 2-mm-aperture screen into a mixer. 3. Mill the remaining ingredients, with the exception of the flavor, through a 1-B band (1.27 mm aperture, or similar) or 0 band (686 micron aperture, or similar) with impact forward at high speed, or screen through a 840-micron aperture screen. 4. Load the milled or screened ingredients into the mixer with the screened sucrose, and dry blend for not less than 5 minutes. 5. Mass with the solution from step 1 and q.s. using purified water, if necessary. Mixer must not be stopped and the sides must be scraped down several times during the massing operation, to minimize the presence of white particles in the final granulation. Do not allow massed granules to stand. 6. Screen the wet mass through a 16-mm-aperture mesh (hammer mill) or a 4-mm-aperture screen (oscillating granulator) and spread evenly onto trays. 7. Dry granules in an oven at between 49° and 55°C, to not more than 1.0% loss on drying (15 minutes Brabender, or equivalent, at 105°C), or loss on drying at 60°C at 5 mm of mercury for 3 hours. 8. Screen the cooled, dried granules through a 1.19-mm-aperture screen and grind coarse through 2-AA band (1.98 mm aperture, or similar), medium speed, knives forward, or screen through a 1.4-mm-aperture screen on an oscillating granulator. Protect granules from excessive exposure to moisture. 9. Screen the flavor through a 600-micron-aperture screen with an equal portion of granulation. 10. Fill into suitable approved bottles at the theoretical fill weight."
Erythromycin Topical Solution,"Product is sensitive to moisture. Every effort should be made to avoid exposure or incorporation of moisture into the product because the stability of the final product is affected. Check mixing tank to make sure it is clean and dry. Mixing tank must be purged with nitrogen gas, as directed, at the start of and during manufacture to replace most of the air in the mixing tank and to reduce the possibility of fire or explosion if there should be a spark. Transfer and filling hose lines must be approved for use with solvents. 1. Charge polyethtylene glycol 400 to a suitable nitrogen-purged tank; keep nitrogen cover and purging on. 2. Add and mix acetone. 3. Add item 2 (quantity adjusted for potency) and mix. 4. Turn the agitator, sample, and adjust volume."
Ethchlorvynol Gelatin Capsule 200 mg,"Polyethylene glycol should be weighed into clean, dry, light-resistant containers and sealed under nitrogen protection. Bulk container should be flushed with nitrogen and resealed. 1. Mix ethclorvynol, polyethylene glycol 400, and glycerin (if used) in an open stainless steel drum until uniform. 2. Cover with loose-fitting polyethylene cover, permitting gas to escape. Fumes will discolor metal. Retest if held for more than 1 month before encapsulating. 3. Mix gelatin to uniform consistency with minimal introduction of air. Encapsulate using the drug mixture into 1000 capsules using gelatin mass red opaque and 6.6 m size die roll. 4. Dry 3 days in a drying room at 20° to 22°C and 22 to 33% relative humidity or lower. 5. Inspect and remove culls. Optionally, wash with acetone or rinse twice with methylene chloride if used in place of acetone. 6. Finishing: Fill."
Eucalyptol Solution,"1. Mix eucalyptol and Cremophor at 65°C, stir well. 2. Add slowly the warm solution of item 3. 3. Clear or slightly opalescent, colorless liquid is desired."
Eucalyptus and Mint Emulsion,1. Heat item 1 to 71°C. 2. Combine rest of the ingredients in another container and heat to 71°C as well. 3. Slowly add water at 71°C and mix for 1 hour. Cool the mixture to 35° to 45°C and fill.
Ferrous Sulfate Oral Solution,Bubble nitrogen throughout the process. Check and record pH of item 10 (limit 5.0 to 6.5). 1. Collect 166.67 g of item 10 in mixer. 2. Heat to 90° to 95°C for 10 minutes. 3. Add item 8. Stir to dissolve to a clear solution. 4. Add item 2. Stir to dissolve to a clear solution. 5. Add item 3. Stir for 10 minutes and cool to 30° to 35°C. 6. Dissolve item 4 in 10.0 g of item 10 (30° to 35°C) and add to first step. 7. Dissolve item 9 in 10.0 g of item 10 (30° to 35°C) and add to first step. 8. Dissolve item 5 in 273.33 g of item 10 (30° to 35°C). Then add item 1 to the clear solution and dissolve slowly without aeration. 9. Add to mixer at first step. 10. Dissolve item 6 in 10.0 g of item 10 (25° to 30°C) and add to first step. 11. Add item 7 to first step. Mix at low speed for 10 minutes. 12. Make volume up to 1.0 L with item 10. 13. Check and record pH. Target pH: 2.20 (limit between 1.95 and 5.15). 14. Filter the drops with recirculation. 15. Transfer the filtered drops in storage vessel under nitrogen blanket. 16. Use nitrogen blanket in the tank throughout the storage and filling period.
Ferrous Sulfate Oral Syrup,Bubble nitrogen throughout the process. 1. Heat 300.0 g of item 8 to 95°C. 2. Add item 2 while stirring at low speed. 3. Dissolve to clear solution by stirring at 95°C. 4. Add item 3. Stir at low speed and cool to 25° to 30°C. 5. Dissolve item 4 in 17.0 g of item 8 and add to first step. 6. Dissolve item 5 in 180.0 g of item 8 in a separate stainless steel container. Then add item 1 to the clear solution and dissolve slowly without aeration. 7. Add to first step. 8. Dissolve item 6 in 16.0 g of item 8 and add to first step. 9. Add item 7 to first step. Mix at low speed for 10 minutes. 10. Make volume up to 1 L with item 8. Check and record pH. Limit between 2.0 and 5.0. Filter the syrup at 1.5 bar. 11. Recirculate about 100 to 150 mL of syrup. 12. Use nitrogen blanket in the tank throughout the storage period.
Furosemide Syrup,"1. Charge 20% of item 10 to a suitable stainless steel-jacketed vessel. 2. Add items 2 and 3 and heat to 90° to 95°C to dissolve. Cool to 40°C after complete dissolution. 3. In a separate vessel, charge items 4, 5, and 6 and mix well. 4. Dissolve item 9 in a portion of item 10 in a separate vessel. 5. Add item 1 to step 4 and mix well. 6. In a separate vessel, dissolve item 7 in a portion of item 10. 7. Add to step 6. 8. Add step 2 to step 7. 9. Add item 8 and mix well. 10. Fill."
Gramicidin Opthalmic Solution,"1. Charge items 1 and 2 in a suitable mixing and jacketed vessel; heat to 65°C and mix. 2. Cool to room temperature. 3. In a separate vessel, add and mix items 3 to 5. 4. Add to step 2. Mix and fill."
"Guaifenesin, Pseudoephedrine, Carbinoxamine, and Chlophedianol Drops","1. Charge 260 mL purified water into a suitable tank. 2. Begin heating water to 70° to 80°C while adding guaifenesin and sucrose with stirring. 3. Continue stirring to dissolve ingredients. 4. Remove heat; add glucose liquid and sorbitol to solution from step 3 with stirring. 5. Add saccharin sodium, sodium benzoate, pseudoephedrine hydrochloride, carbinoxamine maleate, and chlophedianol hydrochloride to solution from step 4. Stir well to dissolve all ingredients. 6. Dissolve dye red E123 and FD&C no. 1 in 10 mL warm, purified water. 7. Add dye solution to solution from step 6 with stirring. Cool solution to 30° to 35°C. 8. q.s. to 975 mL using purified water; mix well. 9. Adjust to pH 4.25 (range 4 to 4.5) with hydrochloric acid (ca. 0.65 g/L of drops). 10. Stir well after each addition of acid. Dissolve menthol, flavors, and orange oil in alcohol; add mixture to solution from step above with good stirring. 11. Stir the solution slowly for 2 hours. 12. Allow to stand overnight to cool and remove entrapped air. 13. q.s. to 1 L with purified water; stir well. 14. Add filter aid hyflo to solution and mix well. 15. Recirculate through filter press or equivalent until sparkling clean."
Haloperiodol Oral Liquid,"1. Charge approximately 700 mL of water into a suitable mixing tank. Add and dissolve lactic acid with stirring; while mixing, add haloperiodol. Mix until complete solution (approximately 15 minutes). 2. Charge 240 mL of water into a separate container and heat to boiling. Add and dissolve methyl and propyl parabens. Mix until complete solution. Add this solution to step 1 solution. 3. Check pH. If necessary, adjust to pH 2.75 (range 2.5 to 3) with 2% sodium hydroxide. Continue mixing for 10 minutes after addition of sodium hydroxide. Record pH and amount of sodium hydroxide added. Lactic acid (#8) may also be used to adjust pH. 4. q.s. to 1 L with water and mix well. 5. Filter solution through 8-micron membrane filter (or similar) into a suitable container, under nitrogen protection. 6. Fill under nitrogen."
Hyoscine Butylbromide Syrup,"1. In a suitable stainless steel container charge 300 mL item 13 and heat to 90° to 95°C. 2. Add and dissolve items 3 and 4. 3. Add item 2 and dissolve. 4. Add item 5 and dissolve. Cool to room temperature 5. In 10 mL item 13, add and dissolve items 6 and 7 and add to step 4. 6. In 10 mL item 13, add and dissolve item 8 and add to step 4. 7. In 10 mL item 13, add and dissolve item 7 and add to step 4. 8. In 20 mL item 13, add and dissolve item 1 and add to step 4. 9. Add flavors. 10. Make up volume and fill."
Ibuprofen Topical Solution,1. Screen the ibuprofen to reduce the particle size. 2. Add the ibuprofen into a clean vessel. 3. Add ethanol to the vessel. 4. Subsequently add the poloxamer and water to the vessel. 5. Mix until uniform.
Ibuprofen Pediatric Suspension,"1. Heat 302.0 g of item 15 to 90°C and dissolve item 2 while mixing in mixer. 2. Cool to about 50°C. 3. Add items 3, 5, 4, 11, and 7 to mixer while mixing and dissolve. 4. Filter the syrup through Seitz Supra 2600 filters in clean stainless steel tank. 5. In a clean stainless steel vessel dissolve item 10 in 35.0 g of item 15 (40°C). 6. Add item 1 slowly while mixing with stirrer. 7. Mix for 30 minutes to make uniform dispersion. Avoid excessive foaming. 8. Disperse items 8 and 9 in item 6 in a clean and dry stainless steel container using stirrer. Add 75.0 g of hot item 15 (70° to 90°C) at once while mixing. 9. Mix for 20 minutes to make homogeneous smooth mucilage. 10. Add about 500 g syrup, ibuprofen dispersion, and mucilage to the mixer. 11. Rinse the containers of ibuprofen dispersion and mucilage with 50.0 g of item 15 (40°C). 12. Add the rinsings to the mixer. Set the mixer: temperature, 25°C; mixer speed, 18 rpm; manual mode vacuum, 0.5 bar. 13. Mix for 3 minutes at low homogenizer speed. 14. Mix for 2 minutes at homogenizer high speed. Check the suspension for uniformity of dispersion. 15. Homogenize for additional 3 minutes at high speed, if required. 16. Add the balance syrup about 507.6 g from step above to the mixer. 17. In a separate container dissolve item 12 in 6.0 g of cooled item 15 (40°C) and transfer to the mixer. 18. Add the items 13 and 14 to the mixer. Set the mixer: temperature, 25°C; mixer speed, 18 rpm; manual mode vacuum, 0.5 bar. Mix for 15 minutes. 19. Mix for 5 minutes at homogenizer low speed. 20. Mix for 5 minutes at homogenizer high speed. 21. Check the suspension for uniformity. 22. Adjust the final volume to 1 L by using purified water."
Ibuprofen Solution,"1. In a suitable stainless steel-jacketed vessel, add and suspend item 1 in item 2 by heating it to 60°C. 2. In a separate vessel, add items 3 and 4 and heat to 90° to 95°C to dissolve preservatives, add to step 1. 3. Mix and fill."
"Ibuprofen Suspension, Sugar Free",1. Dissolve Lutrol F 68 and the preservatives in purified water. 2. In a separate vessel add and mix items 1 and 2. 3. Add to step 1. 4. Homogenize if necessary. 5. Bring to volume with item 5. Mix and fill.
Insulin Inhalation Spray,1. Weigh insulin in a clean glass container and dissolve in acid buffer and titrate to a pH of 7 with Tris buffer. 2. Add Brij 98 and sodium lauryl sulfate to the insulin solution to form a homogenous solution. 3. Lyophilize and suspend dried particles in a nonaqueous suspension medium of ethanol and then charge with hydrofluoroalkane (HFA) 134a. 4. Fill the formulation in a pressure-resistant container fitted with a metering valve.
Iron Infant Drops,"The product is susceptible to oxidation. Protect from atmospheric air all the time using carbon dioxide or nitrogen. The product must be manufactured and held in glasslined or stainless steel tanks. Product waiting to be filled should either be in a closed tank with a CO 2 atmosphere or in an open tank covered with polyethylene sheeting taped tightly that constantly has a slow stream of CO 2 gas flow into the tank headspace. Avoid vortex formation throughout processing. 1. Charge 144 mL of purified water into a mixing tank. 2. Heat to 95° to 100°C and add parabens with strong agitation. 3. Add sorbitol solution and citric acid (item 4) while mixing. 4. Bring solution to 90°C while mixing. 5. Cool the solution while mixing to 60° to 65°C and hold at this temperature with CO 2 or nitrogen gas bubbling into it. CO 2 gas protection is continued for the remainder of the manufacturing process. 6. Add ferrous sulfate and dissolve while mixing, holding at 60° to 65°C. Cool to 25°C with mixing. Add sodium metabisulfite and dissolve while mixing. 7. Avoid vortex formation. Dissolve dye in 2 mL freshly boiled purified water, and add to the tank. Mix. Dissolve the guarana flavor in alcohol, add to the tank, and mix. 8. Check pH (range: 1.8 to 2.2). Adjust, if necessary, with a solution of 10% sodium hydroxide or a solution of 10% citric acid. 9. Make up to volume with freshly boiled purified water and mix. 10. Readjust to volume if necessary with freshly boiled purified water and mix. 11. Add hyflo filter aid and mix. Filter through press until clear. 12. Bubble CO 2 or nitrogen gas into clear filtrate for 5 minutes. Then seal tank and hold product under CO 2 or nitrogen protection."
Iron Polystyrene and Vitamin C Syrup,"1. Add glycerin (item 1) to the tank. Commence heating with agitation. 2. Add and disperse parabens. Continue heating to 70° to 80°C and mix until solution is complete. 3. Force cool to 30°C then add and disperse xanthan gum (item 5). 4. Add sorbitol solution (item 4) and 80 mL of purified water (item 14) and heat with mixing to 60° to 70°C until the xanthan gum is fully dissolved. 5. Add and disperse saccharin and sugar (items 7 and 6). 6. Mix at 60° to 70°C until dispersion is complete. 7. Force cool to 25° to 30°C with continuous mixing. 8. Commence N 2 gas protection and maintain for the remainder of the manufacturing process. 9. Add and disperse ascorbic acid. Continue mixing for 30 minutes at 25° to 30°C. Use suitable stainless steel high-powered stirrer. 10. Mix the iron polystyrene sulfonate milled slurry, in the original epoxy lined drums, under N 2 gas protection until uniform. 11. Add the slurry to the main batch and mix for 30 minutes at 25° to 30°C. Avoid scraping the epoxy lining of the steel drum while mixing and use a plastic or rubber scraper to assist in complete transfer of the mixed slurry. 12. Add and disperse the flavors. Mix well. 13. Check and record pH. Adjust pH using a 20% sodium hydroxide solution (1 g in 5 mL water) to a pH of 3 (range 2.8 to 3.2). 14. Dissolve the dye in 5 to 7 mL of water at 40° to 45°C by stirring for 10 minutes. 15. Add this solution to the main batch through a 420-micron-aperture screen with mixing. 16. Rinse container with 2 to 3 mL water at 40° to 45°C, and add to bulk through a 420-micron screen. 17. Continue to mix under vacuum until uniform. 18. Pass suspension through the colloid mill at a gap setting of 100 to 150 micrometers. 19. Adjust flow rate such that the temperature rise of the suspension does not exceed 10°C. 20. Collect the milled suspension in a stainless steel-jacketed tank with vacuum. Mix at 25° to 30°C under vacuum until a uniform suspension is achieved. 21. Flush the bulk suspension with N 2 and seal. Hold at 25° to 30°C."
Isoproterenol Sulfate and Calcium Iodide Syrup,"1. Charge in a stainless steel tank items 1, 2, 5, 6, 7, 10, and 90% of item 14. Mix well; heat if necessary. 2. In a separate vessel add an dissolve items 4, 8, 9, 12, and 13 in item 14; mix well and add to step 1. 3. Add remaining items, mix, bring to volume. Fill."
"Kaolin, Pectin, and Aluminum Hydroxide Suspension","1. Charge 600 mL of water into a suitable jacketed mixing tank. 2. Add the methylparaben and propylparaben to the tank and heat to 90° to 95°C. 3. Cool to 70°C, add the magnesium aluminum silicate, and mix for 30 minutes or until evenly dispersed. 4. Hold temperature at 70°C. 5. Add kaolin with constant mixing at 70°C until evenly dispersed. 6. Add pectin and mix for 2 hours, maintaining the temperature of 70°C. 7. Add the sodium CMC premium low viscosity and mix for at least 30 minutes, maintaining the temperature at 70°C. Cool to 60°C and hold at this temperature. 8. Add aluminum hydroxide gel and mix under vacuum. 9. Add in order cyclamate calcium and saccharin calcium and mix thoroughly for 20 minutes. While mixing, cool to room temperature and allow standing overnight to hydrate. 10. After overnight standing (minimum 12 hours), mix for 30 minutes. 11. Add and mix flavors. Check and record pH (range 4.5 to 7.5). If pH is above 7.5, adjust with a 60% solution of citric acid to the desired pH. 12. Add water to 1 L and mix thoroughly for 3 hours. 13. Strain product through muslin cloth into holding tanks and cover."
Kaolin–Pectin Suspension,"1. Charge 600 mL of water into a suitable jacketed mixing tank. 2. Add the methylparaben and propylparaben to the tank and heat to 90° to 95°C. 3. Cool to 70°C, add the magnesium aluminum silicate, and mix for 30 minutes or until evenly dispersed. 4. Hold temperature at 70°C. 5. Add kaolin with constant mixing at 70°C until evenly dispersed. 6. Add pectin and mix for 2 hours, maintaining the temperature of 70°C. 7. Add the sodium CMC premium low viscosity and mix for at least 30 minutes, maintaining the temperature at 70°C. 8. Cool to 60°C and hold at this temperature. Add in order cyclamate calcium and saccharin calcium and mix thoroughly for 20 minutes. 9. While mixing, cool to room temperature and allow standing overnight to hydrate. After overnight standing (minimum 12 hours), mix for 30 minutes. 10. Mix while adding the flavors. 11. Check and record pH (range 4.5 to 7.5). If pH is above 7.5, adjust with a 60% solution of citric acid to the desired pH. 12. Add water to 1 L and mix thoroughly for 3 hours. Strain product through muslin cloth into holding tanks and cover."
Ketoprofen Topical Solution,1. Screen the ketoprofen to reduce the particle size. 2. Add the ketoprofen into a clean vessel. 3. Add ethanol to the vessel. 4. Subsequently add poloxamer and water to the vessel. 5. Mix until uniform.
Ketotifen Syrup,"1. Take 1.5 L of purified water and heat to 90° to 95°C, allow to cool down to 30°C, and bubble with nitrogen gas. Keep for batch preparation. 2. Dissolve the parabens in 1 L in a separate vessel and stir until the solution is completely clear. Add citric acid, disodium hydrogen phosphate anhydrous, sucrose, and sorbitol and stir slowly to dissolve until clear solution is obtained. Cool to room temperature. 3. In a separate container dissolve ketotifen hydrogen fumarate in ethanol until clear. 4. Add the flavor to the alcoholic solution of ketotifen and dissolve. 5. Add the alcoholic mixture slowly to the syrup while stirring at room temperature avoiding entrapment of air. 6. Pass the syrup through 100-mesh screen and then through filter press until sparkling clear."
Loratidine Syrup,"Hydrochloric acid (concentrated) is very corrosive. Care should be taken during handling. Rubber gloves and protective goggles should be worn during dispensing and manufacturing. 1. Add 380.0 g of item 11 to a stainless steel manufacturing vessel and heat to 90° to 95°C. 2. Add item 2 while mixing at slow speed at a temperature of 90° to 95°C. Cool to 50°C. 3. Add items 3, 4, 5, and 6 in order while mixing at low speed at 50°C. Mix for 15 minutes at low speed. Cool to 30°C. 4. Take 13.53 g of item 11 in a stainless steel container. Add item 8 carefully. Add hydrochloric acid solution quantity 13.675 g to the manufacturing vessel. Adjust the pH between 2.3 and 2.4. If required, add the additional quantity and record. Discard the remaining quantity. Mix for 5 minutes. 5. Dissolve item 1 in 145.0 g of item 7 in a stainless steel drum while stirring. Add to the manufacturing vessel. 6. Rinse the stainless steel drum with 8.0 g of item 7. Transfer to manufacturing vessel. 7. Add items 9 and 10 in to manufacturing vessel. Mix for 5 minutes at low speed. 8. Make up the volume to 1 L with item 11. 9. Filter and fill."
Magaldrate Instant Powder for Dry Syrup,1. Granulate mixture 1 to 4 with solution of items 5 to 9 and pass through a 0.8-mm sieve to obtain free-flowing granules. 2. Fill 2 g in sachets or 20 g in a 100-mL flask. Instant granules in sachets: suspend 2 g (1 sachet) in a glass of water (800 mg magaldrate).
Magaldrate with Simethicone Suspension,"This product is highly prone to microbial contamination. All equipment coming into contact with the product should be treated with a freshly prepared sodium hypochlorite solution (100 ppm), made with freshly boiled and cooled town water on the day of use. Bottles and caps should also be so treated. Freshly boiled and cooled purified water should be used for rinsing. 1. Charge 285 mL purified water into a suitable jacketed tank and heat to 90° to 95°C. 2. Add and dissolve parabens, acid benzoic, saccharin sodium, and potassium citrate. 3. While maintaining temperature at 85° to 90°C, add, in small quantities, half the quantity of magaldrate cake or powder, if used, and disperse well. (Adjust the speed of agitator and of the homogenizer to ensure effective mixing and to maintain free mobility of the suspension.) 4. Add sorbitol solution and mix well. Raise the temperature, if necessary, maintaining temperature at 85° to 90°C. 5. Add, in small quantities, the remaining half of magaldrate cake or powder and disperse well. Mix for 1 hour and then remove heat. (Adjust the speed of the agitator and of the homogenizer to maintain the mobility of suspension.) 6. Separately blend silicon dioxide colloidal with xanthan gum and disperse the blend in glycerin, with constant mixing. 7. While maintaining temperature at 85° to 95°C, add and disperse the suspension from previous step to the main tank and mix well. Avoid lump formation at any stage. Cool to room temperature. 8. Add dimethyl polysiloxane emulsion and mix well. 9. Add flavor and mix well. Dissolve acid citric in twice the quantity of purified water, and adjust pH if necessary. Check and record pH (range 7.5 to 8). 10. Add purified water to volume and mix well, for a minimum of 30 minutes. 11. Filter through a 180-micron aperture nylon cloth and store in a suitable tank."
Mebendazole Oral Suspension,"1. Load 300.0 g of item 12 (25° to 30°C) in mixer. In it dissolve items 5, 7, and 6 while stirring at a speed of 18 rpm. 2. Dissolve items 2 and 3 in 30.0 g of item 4 (45°C) in a stainless steel container while stirring by stirrer. 3. Cool to 25° to 30°C. 4. Add the paraben solution into step 1 while mixing. 5. Disperse item 8 in 200.0 g of item 12 (25° to 30°C) in a stainless steel container while stirring by stirrer. Keep aside for 1 hour for complete hydration. 6. Disperse item 9 in 100.0 g of item 12 (70°C) in a stainless steel container while stirring by stirrer. 7. Cool to 25° to 30°C. Keep aside for 1 hour for complete gelation. Cooling is necessary for gelation. 8. Dissolve item 10 in 20.0 g of item 12 (50°C) in a stainless steel container while stirring by stirrer. 9. Cool to 30°C. Add 120.0 g of item 4 while mixing. 10. Disperse item 1 while mixing. Keep aside for complete levigation. 11. Add the avicel dispersion and sodium CMC dispersion from step 3 and step 4 into mixer in step 1. Mix and homogenize at mixer speed 18 rpm, homogenizer low speed, and vacuum 0.4 to 0.6 bar for 10 minutes. 12. Add the mebendazole dispersion from step 5 into mixer in step 1. Mix and homogenize at mixer speed 18 rpm, homogenizer low speed, and vacuum 0.4 to 0.6 bar for 10 minutes. 13. Add all item 11 into step 6. Make up the volume up to 1 L with item 12. Mix at a speed of 18 rpm for 5 minutes. 14. Check the suspension for homogeneity. Transfer the suspension through 630-micron sieve to stainless steel storage tank, previously sanitized by 70% ethanol."
Mebendazole Suspension,"1. Charge 80% of item 5 in a stainless steel-jacketed vessel, heat to 90° to 95°C. 2. Add items 3 and 4 and stir to dissolve. 3. Cool to 40°C and add item 2, stir to dissolve completely. 4. Add item 1 and mix well. Homogenize if necessary."
Megestrol Acetate Oral Suspension,"1. Charge glycerol, sorbitol, and polysorbate in a suitable container. Mix well. 2. Charge xanthan gum in a separate vessel with item 10 and allow overnight hydration. 3. Add sodium citrates, sucrose, sodium benzoate, and flavor to step 1 and then add step 2 to step 1. 4. Pass the gum slurry through a screen. 5. Add megestrol acetate and pass then suspension through a colloid mill or homogenizer to provide a uniform oral suspension."
Menthol and Benzocaine Solution,"1. Mill and screen the menthol and benzocaine to reduce the product particle size. 2. Add the menthol, benzocaine, sodium saccharin, and monoammonium glycerizzinate into a clean vessel. 3. Add eucalyptus oil and ethanol to the vessel. 4. Subsequently add the poloxamer and water to the vessel. 5. Mix until uniform."
Menthol Mouthwash,"1. Mix components 1 to 3 and heat to about 60°C. 2. Prepare solution of items 4 to 10, heat to about 60°C, and add it slowly to the well-stirred mixture of items 1 to 3. 3. Clear, colored liquids having a fresh mint taste are the desired result."
Metformin Liquid,"1. Under continuous stirring, add potassium bicarbonate and metformin hydrochloride to purified water and dissolve to get a clear solution. 2. Add hydrochloric acid solution as a dilute solution (approximately 1 molar) to the mixture of the previous step. This results in carbon dioxide gas formation (effervescent gas). 3. Add xylitol at a temperature of not more than 31°C and stir to get a clear solution. 4. Continue stirring and add artificial cherry flavor and saccharin. 5. Adjust the pH to a range of 4.6 to 4.9 using dilute solution of hydrochloric acid (if required). 6. Make up the volume and filter through clarifying grade filter, and fill in approved container."
Metoclopramide Oral Solution,"1. Load 80 g of item 8 to the mixer and heat to 90° to 95°C. 2. Dissolve items 2 and 3 while stirring. Mix for 15 minutes at high speed to get clear solution. 3. Cool the temperature to 25°C. 4. Transfer the solution to drops manufacturing vessel. 5. Add item 5 to the drops manufacturing vessel at step 4, while stirring to dissolve. 6. Add 8 g of item 8 (25°C) in a separate container and dissolve items 6 and 7 using stirrer and transfer to the drops manufacturing vessel at step 5. 7. Add item 4 to the drops manufacturing vessel at step 6 while mixing. 8. Add 5 g of item 8 (25°C) in a separate container and dissolve item 1 using stirrer. 9. Transfer this solution to the drops manufacturing vessel at step 7 while mixing. 10. Check and record the pH (limit 3.4 to 3.6). 11. Adjust the pH if required using 5% aqueous solution of citric acid or sodium citrate. 12. Make up the volume up to 1 L with item 8 (25°C). 13. Assemble the membrane filter of 0.2 micron. Filter the solution and collect the filtrate in clean high-density polyethylene (HDPE) containers."
Metoclopramide Syrup,"1. Add 200.0 g of item 14 to the mixer and heat to 90°C. 2. Sprinkle item 1 slowly while mixing at 20 rpm in manual mode. Check that item 1 is dispersed completely without forming lumps. 3. Start the homogenizer at high speed with recirculation, vacuum 0.4 bar. 4. Homogenize for 15 minutes at high speed. Cool to about 60°C. 5. Add 200.0 g of item 14 in a storage container. 6. Transfer the homogenized mucilage to the storage container (step 5). 7. Add 500.0 g of item 14 to the syrup vessel and heat to 90°C. 8. Add items 2, 3, and 4 to the syrup vessel and mix at high speed for 15 minutes to dissolve. Start cooling until temperature reaches at 50° to 60°C. 9. Withdraw a portion of the solution and check that it is clear and colorless. 10. Transfer the mucilage to the syrup vessel and mix at high speed for 15 minutes. Start cooling and cool to 30°C. 11. Add 20.0 g of item 4 (25°C) in a separate container, dissolve items 5 and 6 by using stirrer, and add solution to the manufacturing vessel. 12. Add 10.0 g of item 14 (25°C) in a separate container, dissolve item 7 by using stirrer, and add solution to the manufacturing vessel. 13. Withdraw a portion of the solution and check that it is clear and colorless. 14. Add 10.0 g of item 14 (25°C) in a separate container, dissolve item 8 by using stirrer, and add solution to the manufacturing vessel. 15. Rinse the container with 5.0 g of item 14 (25°C) cooled, and transfer the rinsing to the syrup vessel. Mix at high speed for 20 minutes. 16. Withdraw a portion of the solution and check that it is clear and colorless. 17. Mix items 10 and 9 in a clean stainless steel container. Add items 12, 11, and 13 and mix well manually. 18. Transfer the solution to the manufacturing vessel and mix for 15 minutes at high speed. 19. Make-up the volume to 1.0 L with item 14 (25°C) and, finally, mix for 20 minutes at high speed. 20. Check and record the color and pH (limit 2.9 to 3.1). Color should be clear to faint yellow. 21. Suspend 1.0 g of the filter aid in 40.0 g of cooled item 14 (25°C), and stir well, Allow the filter aid to settle, Decant off the water. 22. Transfer the washed filter aid to the syrup vessel while mixing. Mix for 30 minutes at high speed. 23. Assemble the filter press. 24. Wash the filters using about 250 L purified water (25°C) by passing through filters at 0.2 bar. 25. Filter the syrup at 1.0 bar. Recirculate about 100 to 150 mL syrup. 26. Transfer the filtered syrup to the storage vessel."
